Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
29418,28,35845,1586000,35846,3493704,130320.672897196,35961,21
29519,29,35945,1586000,35948,3497424,134040.672897196,36065,21
29620,44,36046,1586000,36047,3494200,130816.672897196,36163,33
29720,45,36147,1586000,36149,3496812,133428.672897196,36265,32
29820,41,36247,1586000,36248,3497124,133740.672897196,36364,32
29920,29,36347,1586000,36349,3497724,134340.672897196,36466,20
30021,29,36448,1586000,36449,3498964,135580.672897196,36564,21
30121,18,36548,1586000,36549,3499460,136076.672897196,36667,14
30222,29,36649,1586000,36650,3499792,136408.672897196,36765,15
30322,17,36749,1378000,36750,3498428,135044.672897196,36870,12
30423,38,36849,1586000,36850,3498676,135292.672897196,36969,28
30524,49,36951,1586000,36952,3500672,137288.672897196,37073,34
30623,56,37051,1586000,37053,3501416,138032.672897196,37188,40
30724,60,37151,1586000,37154,3501736,138352.672897196,37262,42
30826,58,37252,1586000,37253,3502672,139288.672897196,37382,42
30926,65,37354,1586000,37355,3502940,139556.672897196,37479,43
31026,55,37457,1586000,37459,3497164,133780.672897196,37569,36
31126,43,37553,1586000,37555,3497824,134440.672897196,37674,28
31227,26,37654,1586000,37655,3502024,138640.672897196,37770,17
31327,42,37755,1586000,37756,3502396,139012.672897196,37881,27
31428,39,37857,1586000,37858,3504876,141492.672897196,37988,32
31527,41,37956,1586000,37957,3507620,144236.672897196,38061,22
31630,32,38055,1586000,38055,3511800,148416.672897196,38178,23
31728,50,38158,1586000,38159,3513144,149760.672897196,38271,33
31829,21,38256,1586000,38257,3507280,143896.672897196,38377,14
31929,25,38357,1586000,38360,3507776,144392.672897196,38475,19
32030,25,38457,1586000,38458,3511952,148568.672897196,38575,20
32130,33,38558,1586000,38560,3512212,148828.672897196,38674,22
32232,36,38657,1586000,38658,3512720,149336.672897196,38776,24
32331,41,38760,1586000,38761,3513304,149920.672897196,38881,30
32432,46,38859,1586000,38860,3513448,150064.672897196,38985,35
32532,53,38959,1586000,38961,3514440,151056.672897196,39084,37
32633,37,39059,1586000,39061,3506848,143464.672897196,39183,27
32733,31,39160,1586000,39163,3511064,147680.672897196,39281,24
32833,40,39260,1586000,39262,3512304,148920.672897196,39378,29
32933,30,39361,1586000,39362,3514936,151552.672897196,39479,21
33034,24,39461,1586000,39462,3515004,151620.672897196,39577,16
33134,31,39562,1586000,39563,3513824,150440.672897196,39679,23
33235,32,39662,1586000,39663,3514448,151064.672897196,39780,21
33335,22,39762,1586000,39764,3509440,146056.672897196,39878,17
33435,20,39862,1586000,39863,3509688,146304.672897196,39978,15
33536,23,39963,1586000,39964,3516136,152752.672897196,40082,20
33636,30,40064,1586000,40065,3515500,152116.672897196,40180,18
33736,30,40163,1586000,40164,3516988,153604.672897196,40280,21
33837,31,40264,1586000,40265,3517500,154116.672897196,40381,24
33937,31,40364,1586000,40365,3518740,155356.672897196,40483,21
34038,54,40465,1586000,40466,3519288,155904.672897196,40587,39
34139,40,40565,1586000,40568,3509580,146196.672897196,40691,29
34239,36,40667,1586000,40670,3514156,150772.672897196,40787,26
34339,37,40767,1586000,40770,3514556,151172.672897196,40886,29
34440,33,40867,1586000,40868,3515044,151660.672897196,41005,27
34541,43,40973,1586000,40976,3511588,148204.672897196,41086,28
34641,25,41068,1586000,41069,3510904,147520.672897196,41191,18
34742,32,41168,1586000,41169,3511960,148576.672897196,41286,23
34842,26,41270,1586000,41271,3512456,149072.672897196,41394,19
34942,25,41369,1586000,41370,3513200,149816.672897196,41498,18
35043,25,41470,1586000,41471,3516424,153040.672897196,41592,19
35143,39,41573,1586000,41574,3517128,153744.672897196,41696,28
35243,26,41671,1586000,41672,3517872,154488.672897196,41791,19
35346,38,41771,1586000,41772,3518160,154776.672897196,41893,28
35447,41,41873,1586000,41874,3518240,154856.672897196,41997,30
35548,38,41975,1586000,41976,3512096,148712.672897196,42095,27
35648,29,42076,1586000,42077,3512592,149208.672897196,42200,21
35748,19,42177,1586000,42178,3514736,151352.672897196,42307,19
35850,37,42280,1586000,42285,3515232,151848.672897196,42408,24
35949,37,42378,1586000,42379,3517960,154576.672897196,42502,27
36050,36,42477,1586000,42478,3512144,148760.672897196,42610,27
36150,40,42577,1586000,42581,3512776,149392.672897196,42689,25
36200,25,42678,1586000,42679,3510436,147052.672897196,42743,16
36300,31,42727,1586000,42728,3510684,147300.672897196,42842,21
36400,24,42828,1586000,42829,3511108,147724.672897196,42945,18
36501,16,42928,1586000,42929,3506148,142764.672897196,43049,12
36601,29,43028,1586000,43029,3506644,143260.672897196,43151,21
36702,31,43129,1586000,43130,3510472,147088.672897196,43244,22
36802,26,43229,1586000,43230,3508552,145168.672897196,43346,19
36902,37,43329,1586000,43330,3509012,145628.672897196,43447,27
37003,35,43430,1586000,43431,3510472,147088.672897196,43546,24
37104,24,43531,1586000,43532,3510328,146944.672897196,43648,17
37204,21,43631,1586000,43633,3505988,142604.672897196,43746,14
37304,28,43731,1586000,43732,3504744,141360.672897196,43848,21
37404,25,43832,1586000,43833,3509000,145616.672897196,43950,18
37505,23,43932,1378000,43933,3508756,145372.672897196,44050,19
37605,26,44033,1586000,44035,3509848,146464.672897196,44150,17
37706,32,44133,1586000,44134,3510592,147208.672897196,44248,22
37806,24,44233,1586000,44234,3509412,146028.672897196,44349,18
37907,16,44334,1586000,44335,3506948,143564.672897196,44449,12
38007,23,44434,1586000,44435,3505944,142560.672897196,44552,17
38108,29,44535,1586000,44536,3510144,146760.672897196,44653,20
38208,28,44636,1586000,44637,3510740,147356.672897196,44751,19
38309,27,44736,1586000,44737,3509876,146492.672897196,44852,21
38410,37,44836,1586000,44838,3510120,146736.672897196,44954,25
38509,37,44937,1586000,44939,3505140,141756.672897196,45053,27
38610,32,45037,1586000,45038,3505140,141756.672897196,45155,22
38710,20,45137,1586000,45139,3508860,145476.672897196,45255,11
38810,29,45239,1586000,45240,3508420,145036.672897196,45354,23
38912,26,45338,1586000,45339,3510900,147516.672897196,45457,20
39011,33,45440,1586000,45442,3511100,147716.672897196,45560,25
39112,49,45539,1586000,45540,3511844,148460.672897196,45658,36
39213,50,45640,1586000,45641,3512172,148788.672897196,45764,36
39313,43,45740,1586000,45742,3504788,141404.672897196,45860,31
39414,43,45841,1586000,45842,3485392,122008.672897196,45959,32
39517,37,45942,1586000,45943,3521352,157968.672897196,46077,31
39615,46,46052,1586000,46054,3535984,172600.672897196,46156,31
39716,44,46142,1586000,46143,3537472,174088.672897196,46263,34
39815,31,46244,1586000,46245,3536344,172960.672897196,46361,20
39915,34,46343,1586000,46344,3536112,172728.672897196,46461,27
40016,38,46443,1586000,46446,3537584,174200.672897196,46560,25
40116,37,46544,1586000,46545,3531312,167928.672897196,46661,27
40218,28,46644,1586000,46645,3535440,172056.672897196,46760,18
40318,33,46745,1586000,46747,3534428,171044.672897196,46865,26
40418,40,46847,1586000,46848,3539876,176492.672897196,46967,30
40518,39,46948,1586000,46949,3533864,170480.672897196,47066,29
40620,44,47046,1586000,47047,3535564,172180.672897196,47174,33
40721,46,47148,1586000,47150,3539628,176244.672897196,47278,31
40821,43,47249,1586000,47252,3538548,175164.672897196,47359,32
40922,39,47349,1586000,47349,3540036,176652.672897196,47465,27
41021,10,47450,1586000,47451,3543472,180088.672897196,47577,7
41122,33,47549,1586000,47550,3543968,180584.672897196,47670,24
41222,31,47650,1586000,47651,3546944,183560.672897196,47770,22
41323,29,47750,1586000,47751,3546476,183092.672897196,47871,22
41423,36,47851,1586000,47853,3545984,182600.672897196,47989,29
41524,58,47960,1586000,47964,3546480,183096.672897196,48062,39
41624,36,48051,1586000,48052,3540336,176952.672897196,48176,26
41724,35,48152,1586000,48153,3536864,173480.672897196,48271,22
41825,21,48252,1586000,48254,3539468,176084.672897196,48373,15
41925,29,48352,1586000,48355,3542196,178812.672897196,48473,24
42026,30,48454,1586000,48455,3542644,179260.672897196,48574,21
42126,27,48553,1586000,48556,3542128,178744.672897196,48687,21
42226,50,48654,1586000,48662,3544940,181556.672897196,48788,37
42327,46,48754,1586000,48755,3544356,180972.672897196,48864,32
42432,38,48854,1586000,48855,3538364,174980.672897196,48989,30
42528,37,48964,1586000,48965,3537744,174360.672897196,49065,25
42631,35,49055,1586000,49056,3539728,176344.672897196,49198,28
42729,53,49162,1586000,49168,3543200,179816.672897196,49282,38
42829,40,49257,1586000,49266,3542712,179328.672897196,49366,29
42930,27,49357,1586000,49358,3542068,178684.672897196,49480,14
43030,24,49458,1586000,49459,3542812,179428.672897196,49580,21
43130,38,49557,1586000,49558,3543804,180420.672897196,49677,23
43231,39,49658,1586000,49660,3537788,174404.672897196,49786,27
43331,34,49758,1378000,49760,3539432,176048.672897196,49878,22
43431,25,49858,1586000,49859,3541752,178368.672897196,49982,18
43533,21,49959,1586000,49960,3543984,180600.672897196,50083,16
43632,28,50060,1586000,50061,3544728,181344.672897196,50180,20
43733,29,50159,1586000,50161,3540016,176632.672897196,50277,22
43833,35,50260,1586000,50261,3539024,175640.672897196,50379,24
43935,43,50361,1586000,50361,3540512,177128.672897196,50491,31
44034,30,50463,1586000,50464,3542996,179612.672897196,50576,23
44135,46,50562,1586000,50562,3545724,182340.672897196,50690,32
44235,38,50663,1586000,50664,3546716,183332.672897196,50781,31
44335,39,50762,1586000,50763,3536708,173324.672897196,50881,27
44436,45,50863,1586000,50864,3537512,174128.672897196,50993,34
