App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
36849,17,36749,1378000,36750,3498428,36870,12,
36950,38,36849,1586000,36850,3498676,36969,28,
37051,49,36951,1586000,36952,3500672,37073,34,
37150,56,37051,1586000,37053,3501416,37188,40,
37251,60,37151,1586000,37154,3501736,37262,42,
37353,58,37252,1586000,37253,3502672,37382,42,
37453,65,37354,1586000,37355,3502940,37479,43,
37553,55,37457,1586000,37459,3497164,37569,36,
37653,43,37553,1586000,37555,3497824,37674,28,
37754,26,37654,1586000,37655,3502024,37770,17,
37854,42,37755,1586000,37756,3502396,37881,27,
37955,39,37857,1586000,37858,3504876,37988,32,
38054,41,37956,1586000,37957,3507620,38061,22,
38157,32,38055,1586000,38055,3511800,38178,23,
38255,50,38158,1586000,38159,3513144,38271,33,
38356,21,38256,1586000,38257,3507280,38377,14,
38456,25,38357,1586000,38360,3507776,38475,19,
38557,25,38457,1586000,38458,3511952,38575,20,
38657,33,38558,1586000,38560,3512212,38674,22,
38759,36,38657,1586000,38658,3512720,38776,24,
38858,41,38760,1586000,38761,3513304,38881,30,
38959,46,38859,1586000,38860,3513448,38985,35,
39059,53,38959,1586000,38961,3514440,39084,37,
39160,37,39059,1586000,39061,3506848,39183,27,
39260,31,39160,1586000,39163,3511064,39281,24,
39360,40,39260,1586000,39262,3512304,39378,29,
39460,30,39361,1586000,39362,3514936,39479,21,
39561,24,39461,1586000,39462,3515004,39577,16,
39661,31,39562,1586000,39563,3513824,39679,23,
39762,32,39662,1586000,39663,3514448,39780,21,
39862,22,39762,1586000,39764,3509440,39878,17,
39962,20,39862,1586000,39863,3509688,39978,15,
40063,23,39963,1586000,39964,3516136,40082,20,
40163,30,40064,1586000,40065,3515500,40180,18,
40263,30,40163,1586000,40164,3516988,40280,21,
40364,31,40264,1586000,40265,3517500,40381,24,
40464,31,40364,1586000,40365,3518740,40483,21,
40565,54,40465,1586000,40466,3519288,40587,39,
40666,40,40565,1586000,40568,3509580,40691,29,
40766,36,40667,1586000,40670,3514156,40787,26,
40866,37,40767,1586000,40770,3514556,40886,29,
40967,33,40867,1586000,40868,3515044,41005,27,
41068,43,40973,1586000,40976,3511588,41086,28,
41168,25,41068,1586000,41069,3510904,41191,18,
41269,32,41168,1586000,41169,3511960,41286,23,
41369,26,41270,1586000,41271,3512456,41394,19,
41469,25,41369,1586000,41370,3513200,41498,18,
41570,25,41470,1586000,41471,3516424,41592,19,
41670,39,41573,1586000,41574,3517128,41696,28,
41770,26,41671,1586000,41672,3517872,41791,19,
41873,38,41771,1586000,41772,3518160,41893,28,
41974,41,41873,1586000,41874,3518240,41997,30,
42075,38,41975,1586000,41976,3512096,42095,27,
42175,29,42076,1586000,42077,3512592,42200,21,
42275,19,42177,1586000,42178,3514736,42307,19,
42377,37,42280,1586000,42285,3515232,42408,24,
42476,37,42378,1586000,42379,3517960,42502,27,
42577,36,42477,1586000,42478,3512144,42610,27,
42677,40,42577,1586000,42581,3512776,42689,25,
42727,25,42678,1586000,42679,3510436,42743,16,
42827,31,42727,1586000,42728,3510684,42842,21,
42927,24,42828,1586000,42829,3511108,42945,18,
43028,16,42928,1586000,42929,3506148,43049,12,
43128,29,43028,1586000,43029,3506644,43151,21,
43229,31,43129,1586000,43130,3510472,43244,22,
43329,26,43229,1586000,43230,3508552,43346,19,
43429,37,43329,1586000,43330,3509012,43447,27,
