App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
43842,66,43843,1586000,43844,3508960,43864,38,
43943,55,43944,1586000,43945,3504128,43961,33,
44043,57,44044,1586000,44046,3505176,44063,34,
44144,30,44144,1586000,44145,3505920,44161,19,
44244,61,44245,1586000,44246,3505144,44263,34,
44344,63,44345,1586000,44346,3499588,44362,37,
44445,62,44445,1586000,44446,3497432,44461,35,
44545,66,44546,1586000,44547,3498108,44563,37,
44646,40,44646,1482000,44647,3500112,44661,27,
44746,59,44747,1378000,44748,3507304,44768,29,
44847,70,44847,1586000,44848,3508048,44862,42,
44949,60,44950,1586000,44952,3505636,44970,35,
45048,54,45049,1586000,45050,3505104,45067,30,
45148,22,45149,1586000,45150,3505600,45167,15,
45249,53,45250,1586000,45251,3505848,45266,31,
45350,61,45351,1586000,45353,3505848,45370,39,
45451,54,45452,1586000,45455,3506676,45478,32,
45551,87,45551,1586000,45552,3505228,45573,27,
45650,0,45654,1586000,45655,3495648,45670,31,
45752,87,45752,1586000,45754,3504832,45773,32,
45852,0,45853,1170000,45859,3506228,45879,30,
45955,59,45955,1274000,45956,3507388,45980,32,
46053,44,46053,1586000,46055,3505468,46072,27,
46154,72,46155,1586000,46156,3512660,46175,41,
46254,60,46254,1586000,46256,3512760,46271,37,
46356,66,46356,1586000,46357,3496400,46373,34,
46455,57,46456,1586000,46457,3499128,46475,29,
46557,37,46558,1586000,46559,3498212,46575,26,
46655,59,46656,1586000,46658,3509000,46678,33,
46757,66,46760,1586000,46762,3510488,46777,38,
46858,51,46858,1586000,46860,3510496,46878,28,
46957,58,46958,1586000,46960,3511240,46982,30,
47057,42,47058,1586000,47059,3510408,47078,24,
47159,62,47162,1274000,47164,3508436,47190,37,
47258,69,47259,1586000,47260,3505676,47292,39,
47359,63,47359,1586000,47362,3505532,47391,37,
47459,60,47460,1586000,47461,3506852,47479,33,
47559,33,47561,1586000,47562,3505792,47582,24,
47660,58,47660,1586000,47662,3499740,47690,34,
47760,68,47760,1586000,47761,3504536,47766,41,
47861,57,47863,1586000,47867,3505136,47888,36,
47961,87,47961,1586000,47963,3505356,47991,32,
48062,0,48062,1586000,48063,3504044,48095,25,
48162,66,48163,1170000,48164,3499808,48192,37,
48262,66,48263,1586000,48267,3504304,48284,39,
48362,55,48363,1586000,48364,3504800,48385,32,
48463,44,48463,1586000,48464,3506820,48486,27,
48564,50,48565,1586000,48566,3514408,48602,28,
48664,76,48664,1586000,48665,3513204,48682,46,
48764,45,48764,1586000,48766,3497668,48784,26,
48864,62,48865,1586000,48866,3501464,48888,32,
48964,40,48965,1586000,48966,3502876,48991,25,
49065,59,49066,1586000,49067,3513540,49097,35,
49166,87,49167,1586000,49168,3512820,49196,37,
49265,0,49266,1586000,49266,3512684,49271,34,
49366,87,49367,1586000,49368,3514132,49387,28,
49467,0,49468,1586000,49469,3514404,49484,35,
49567,87,49568,1586000,49569,3514468,49589,34,
49668,0,49669,1586000,49670,3512596,49685,33,
49768,87,49769,1586000,49770,3515264,49791,43,
49869,0,49870,1586000,49871,3512136,49885,32,
49969,87,49970,1586000,49971,3504876,49991,44,
50070,0,50070,1586000,50071,3504628,50085,31,
50170,63,50171,1586000,50172,3503176,50188,37,
