App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
130992,68,130993,1586000,130995,3514604,131209,35,
131091,89,131092,1586000,131093,3512880,131310,45,
131192,61,131193,1586000,131194,3513352,131411,37,
131293,75,131293,1586000,131294,3511124,131516,29,
131394,60,131394,1586000,131396,3511956,131614,33,
131494,49,131495,1482000,131496,3503912,131717,37,
131595,61,131595,1586000,131597,3510692,131818,34,
131695,61,131696,1586000,131697,3512552,131914,26,
131796,59,131797,1586000,131798,3511716,132019,20,
131896,50,131897,1378000,131898,3512880,132129,30,
131997,31,131997,1378000,131998,3515320,132214,42,
132098,67,132098,1378000,132104,3515576,132318,29,
132198,72,132198,1586000,132199,3506132,132415,31,
132299,55,132299,1586000,132301,3505348,132517,22,
132398,59,132399,1586000,132401,3506488,132621,44,
132499,29,132500,1586000,132501,3508128,132730,53,
132601,72,132601,1586000,132603,3512964,132819,46,
132702,86,132702,1586000,132704,3511288,132920,43,
132802,75,132802,1586000,132803,3512380,133023,30,
132902,70,132903,1586000,132904,3503020,133124,45,
133002,46,133003,1586000,133004,3503372,133222,46,
133103,71,133104,1586000,133106,3513688,133324,36,
133203,76,133204,1586000,133205,3513492,133420,39,
133304,61,133304,1586000,133306,3511868,133521,20,
133404,64,133404,1586000,133406,3513108,133622,29,
133504,33,133505,1586000,133506,3515476,133725,40,
133605,53,133606,1586000,133607,3515692,133823,38,
133706,66,133706,1586000,133708,3516188,133925,38,
133806,65,133806,1586000,133808,3511708,134024,24,
133906,65,133908,1586000,133909,3512752,134124,45,
134006,37,134007,1586000,134008,3513496,134225,32,
134107,73,134107,1586000,134109,3512116,134331,43,
134207,55,134208,1586000,134209,3506536,134426,44,
134308,69,134309,1586000,134314,3503196,134539,34,
134408,71,134409,1586000,134411,3505668,134638,47,
134510,52,134511,1586000,134514,3509376,134732,41,
134609,77,134611,1586000,134612,3515816,134840,62,
134709,69,134710,1586000,134712,3516808,134915,40,
134812,87,134812,1586000,134813,3518204,135032,35,
134910,0,134910,1586000,134911,3518124,135130,29,
135011,56,135011,1586000,135014,3518620,135232,48,
135111,51,135112,1586000,135114,3519436,135338,28,
135211,87,135212,1482000,135213,3519344,135445,36,
135313,0,135313,858000,135315,3519192,135541,46,
135413,87,135413,1170000,135416,3520116,135631,20,
135516,68,135517,1586000,135519,3516880,135731,35,
135613,0,135614,1586000,135615,3519984,135833,32,
135714,50,135714,1586000,135716,3518704,135937,39,
135814,52,135815,1586000,135816,3518880,136039,31,
135915,67,135916,1586000,135918,3520028,136144,35,
136015,47,136016,1586000,136017,3518668,136224,52,
136117,58,136119,1586000,136124,3515332,136348,36,
136217,82,136218,1586000,136218,3513276,136441,44,
136319,60,136319,1586000,136322,3509788,136540,38,
136419,70,136420,1586000,136422,3508856,136642,40,
136519,60,136520,1586000,136522,3510820,136744,53,
136620,59,136621,1586000,136622,3515424,136844,34,
136721,87,136721,1586000,136722,3516664,136945,35,
136823,59,136824,1586000,136826,3517148,137045,27,
136923,64,136924,1586000,136925,3517348,137147,33,
137024,42,137024,1586000,137027,3518460,137247,42,
137127,54,137129,1586000,137130,3516784,137353,31,
137225,76,137226,1586000,137227,3516636,137448,44,
137325,54,137326,1586000,137327,3516764,137542,31,
137426,70,137429,1586000,137431,3516912,137665,40,
137526,51,137527,1586000,137528,3518276,137745,37,
137627,63,137628,1586000,137630,3518756,137846,32,
137727,67,137728,1586000,137729,3516488,137952,33,
137828,50,137828,1586000,137830,3516248,138050,35,
137929,56,137930,1586000,137932,3518580,138168,42,
138028,51,138029,1586000,138031,3517700,138268,52,
138129,68,138130,1586000,138132,3510468,138353,40,
138229,84,138230,1586000,138230,3515596,138451,42,
138332,71,138333,1586000,138334,3511544,138553,37,
138430,70,138431,1586000,138432,3514036,138654,35,
138531,56,138531,1586000,138533,3515408,138755,43,
138632,64,138632,1586000,138634,3510348,138863,33,
138732,71,138732,1586000,138733,3516276,138943,38,
138833,56,138834,1586000,138836,3513076,139052,24,
138933,66,138933,1586000,138934,3514052,139162,32,
139033,38,139034,1586000,139035,3514996,139264,48,
139141,53,139142,1586000,139143,3511152,139375,33,
139237,87,139238,1586000,139239,3517060,139460,37,
139340,0,139341,1586000,139343,3518052,139562,28,
139438,64,139439,1586000,139441,3515936,139661,34,
139538,42,139539,1586000,139540,3517652,139791,45,
139639,55,139639,1586000,139641,3525016,139856,43,
139739,87,139742,1586000,139743,3524888,139964,48,
139839,0,139840,1586000,139841,3524704,140058,36,
139940,79,139940,1586000,139941,3508912,140211,43,
140041,55,140041,1586000,140042,3507780,140258,49,
140141,73,140142,1586000,140144,3517892,140359,32,
140241,79,140241,1586000,140244,3518636,140472,35,
140342,56,140342,1586000,140343,3519828,140583,37,
140445,58,140446,1586000,140447,3522248,140684,47,
140548,52,140551,1586000,140553,3520796,140774,39,
140646,75,140646,1586000,140653,3521540,140871,50,
140746,67,140746,1586000,140747,3522416,140972,30,
140846,87,140847,1586000,140847,3522608,141071,49,
140949,0,140951,1586000,140952,3520464,141172,34,
141048,57,141049,1586000,141050,3517308,141266,35,
141149,57,141150,1586000,141153,3518396,141369,25,
141248,63,141249,1586000,141250,3517804,141481,27,
141349,43,141349,1586000,141350,3519516,141557,49,
141450,47,141451,1586000,141452,3520936,141690,41,
141550,84,141550,1586000,141551,3511172,141787,47,
141651,67,141652,1586000,141655,3510116,141859,33,
141752,77,141753,1586000,141754,3510564,141959,37,
141852,47,141853,1586000,141853,3512288,142097,45,
141953,63,141953,1586000,141954,3520880,142174,41,
142054,72,142054,1586000,142056,3521376,142276,38,
142154,63,142155,1586000,142157,3519492,142375,25,
142254,63,142255,1586000,142256,3520484,142486,29,
142355,46,142355,1378000,142356,3521724,142583,50,
142456,57,142456,1274000,142458,3521896,142677,41,
142557,87,142558,1586000,142559,3522312,142774,37,
142657,0,142658,1586000,142659,3523288,142878,25,
142757,58,142758,1586000,142759,3521760,142978,39,
142858,40,142859,1586000,142860,3522504,143077,25,
142958,72,142959,1586000,142960,3522752,143178,37,
143058,43,143059,1586000,143060,3523496,143293,38,
143159,67,143160,1586000,143161,3523748,143367,40,
143262,56,143263,1586000,143265,3522336,143501,47,
143359,64,143360,1586000,143361,3522772,143567,47,
143461,78,143465,1586000,143467,3522896,143670,41,
143560,75,143561,1586000,143561,3523376,143784,43,
143663,72,143663,1586000,143664,3522148,143881,31,
143763,66,143764,1586000,143766,3523240,143988,38,
143864,52,143865,1586000,143866,3521512,144036,47,
143966,63,143967,1586000,143968,3521512,144136,31,
144017,80,144017,1586000,144020,3521512,144235,32,
144117,53,144118,1586000,144119,3522468,144338,27,
