App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
150631,30,150531,1170000,150532,3527336,150559,19,
150732,24,150632,1586000,150633,3527744,150648,20,
150835,14,150734,1170000,150735,3527884,150753,12,
150933,25,150835,1170000,150837,3528132,150858,8,
151033,28,150933,1170000,150935,3529380,150955,15,
151134,31,151034,1170000,151037,3526032,151059,18,
151235,25,151134,1170000,151135,3525532,151154,20,
151335,25,151235,1170000,151237,3525880,151255,14,
151435,44,151336,1274000,151337,3525736,151359,16,
151536,33,151436,1586000,151441,3525196,151466,28,
151639,33,151537,1586000,151538,3525196,151547,24,
151739,21,151639,1170000,151641,3528580,151659,20,
151841,27,151739,1170000,151741,3528752,151759,11,
151945,27,151843,1378000,151844,3529200,151864,16,
152044,28,151946,1170000,151947,3524712,151968,16,
152146,27,152044,1170000,152046,3524172,152064,16,
152244,28,152146,1170000,152148,3524688,152175,17,
152346,35,152245,1586000,152246,3525432,152264,15,
152446,20,152347,1586000,152348,3526176,152365,25,
152547,28,152446,1586000,152447,3529868,152465,14,
152646,19,152547,1586000,152548,3528440,152568,21,
152747,26,152647,1586000,152648,3529496,152676,14,
152848,23,152748,1586000,152748,3531728,152763,19,
152949,14,152848,1170000,152849,3531188,152869,16,
153049,41,152952,1170000,152953,3531436,152981,10,
153149,43,153050,1378000,153051,3529532,153069,23,
153250,37,153149,1378000,153151,3528992,153183,25,
153350,26,153250,1586000,153251,3528992,153260,25,
153451,15,153351,1170000,153353,3525776,153373,15,
153551,41,153451,1170000,153452,3526520,153468,9,
153651,22,153552,1586000,153553,3529240,153569,25,
153752,26,153652,1170000,153653,3528872,153680,16,
153853,27,153753,1170000,153755,3529728,153773,15,
153953,29,153853,1170000,153855,3529356,153873,17,
154053,30,153954,1586000,153955,3530596,153972,17,
154154,20,154054,1586000,154055,3529808,154069,23,
154255,18,154154,1586000,154156,3525440,154173,14,
154355,29,154255,1170000,154257,3525688,154274,12,
154456,21,154356,1378000,154358,3530596,154378,18,
154556,31,154456,1170000,154457,3530600,154476,15,
154657,32,154557,1482000,154558,3529816,154576,19,
154757,39,154657,1170000,154658,3530432,154678,18,
154857,41,154758,1274000,154759,3531464,154776,22,
154958,18,154858,1586000,154859,3531712,154876,29,
155058,28,154958,1586000,154959,3531960,154982,14,
155159,20,155059,1170000,155060,3531420,155083,20,
