Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
31852,310000,46960,27,46961,100,46961,1342080,116448.989247312,46973,100
31953,310000,47060,27,47062,97,47063,1342832,117200.989247312,47081,97
32057,310000,47164,27,47166,100,47167,1343288,117656.989247312,47206,100
32158,310000,47265,27,47267,100,47269,1343660,118028.989247312,47288,100
32271,310000,47380,27,47381,100,47395,1343952,118320.989247312,47407,100
32371,310000,47479,27,47480,100,47481,1342752,117120.989247312,47496,100
32472,310000,47583,27,47585,100,47587,1343232,117600.989247312,47606,100
32572,310000,47680,27,47681,87,47690,1343876,118244.989247312,47697,87
32676,310000,47784,27,47788,100,47790,1344768,119136.989247312,47813,100
32726,310000,47834,27,47836,100,47838,1345184,119552.989247312,47865,100
32827,310000,47935,27,47936,95,47937,1344540,118908.989247312,47943,95
32932,310000,48040,27,48041,100,48042,1344932,119300.989247312,48058,100
33034,310000,48142,27,48143,100,48144,1345324,119692.989247312,48150,100
33135,310000,48242,27,48244,100,48245,1345932,120300.989247312,48263,100
33237,310000,48345,27,48347,100,48347,1344964,119332.989247312,48353,100
33338,310000,48446,27,48447,97,48448,1345488,119856.989247312,48453,97
33448,310000,48556,29,48557,100,48558,1345980,120348.989247312,48563,100
33548,310000,48656,29,48657,100,48658,1346300,120668.989247312,48681,100
33648,310000,48756,29,48757,100,48758,1344744,119112.989247312,48775,100
33749,310000,48857,29,48859,100,48863,1345204,119572.989247312,48881,100
33849,310000,48957,29,48959,100,48961,1345392,119760.989247312,48968,100
33950,310000,49058,29,49061,100,49062,1345420,119788.989247312,49076,100
34050,310000,49158,29,49159,100,49163,1345808,120176.989247312,49205,100
34151,310000,49259,29,49260,100,49261,1345224,119592.989247312,49274,100
34252,310000,49360,29,49362,100,49364,1345548,119916.989247312,49383,100
34354,310000,49462,29,49473,100,49475,1346696,121064.989247312,49481,100
34455,200000,49565,29,49566,100,49568,1347192,121560.989247312,49589,100
34555,200000,49663,29,49665,100,49666,1345064,119432.989247312,49686,100
34655,310000,49763,22,49765,95,49767,1345532,119900.989247312,49776,95
34756,310000,49864,22,49866,100,49868,1346272,120640.989247312,49888,100
34856,310000,49968,22,49971,100,49980,1346768,121136.989247312,49986,100
34961,310000,50070,22,50072,100,50073,1347492,121860.989247312,50102,100
35062,310000,50169,22,50171,97,50171,1345392,119760.989247312,50188,97
35168,310000,50276,22,50277,100,50282,1345884,120252.989247312,50299,100
35268,310000,50376,22,50377,100,50378,1346652,121020.989247312,50386,100
35369,310000,50477,22,50478,100,50479,1347148,121516.989247312,50489,100
35469,310000,50577,22,50578,100,50579,1344908,119276.989247312,50595,100
35570,310000,50678,22,50679,100,50680,1345804,120172.989247312,50698,100
35670,310000,50778,22,50780,97,50781,1346420,120788.989247312,50787,97
35771,310000,50879,22,50881,100,50881,1346816,121184.989247312,50908,100
35872,310000,51005,22,51006,98,51008,1345516,119884.989247312,51024,98
35972,310000,51080,22,51081,100,51082,1345840,120208.989247312,51107,100
36073,310000,51181,22,51182,100,51183,1346376,120744.989247312,51189,100
36173,310000,51281,25,51282,100,51283,1346996,121364.989247312,51289,100
36274,310000,51382,25,51384,100,51385,1345292,119660.989247312,51403,100
36374,310000,51482,25,51483,100,51484,1345364,119732.989247312,51490,100
36475,310000,51583,0,51584,100,51585,1345296,119664.989247312,51590,100
36575,310000,51683,0,51684,100,51685,1345912,120280.989247312,51691,100
36676,310000,51783,0,51785,100,51786,1346388,120756.989247312,51793,97
36776,310000,51884,0,51886,97,51888,1347344,121712.989247312,51952,100
36882,310000,51989,0,51990,100,51991,1346264,120632.989247312,52006,100
36982,310000,52090,0,52091,97,52092,1346392,120760.989247312,52108,97
37086,310000,52193,0,52195,90,52195,1347128,121496.989247312,52202,90
37186,200000,52294,0,52295,76,52295,1348044,122412.989247312,52300,78
37286,310000,52394,0,52399,100,52400,1346220,120588.989247312,52405,100
37388,310000,52496,0,52497,95,52498,1346392,120760.989247312,52507,95
37488,310000,52600,26,52601,97,52603,1346184,120552.989247312,52608,97
37589,310000,52697,26,52698,92,52699,1347356,121724.989247312,52704,92
37689,310000,52797,26,52798,100,52799,1348100,122468.989247312,52827,100
37798,310000,52906,26,52907,100,52908,1346944,121312.989247312,52927,100
37898,310000,53006,26,53008,94,53008,1347712,122080.989247312,53022,94
37999,310000,53106,26,53107,97,53108,1348400,122768.989247312,53122,97
