Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
21206,310000,30267,49,30270,31,30271,1210316,0,30279,23
21306,310000,30367,49,30369,32,30372,1208888,0,30380,25
21409,310000,30469,49,30470,19,30471,1209400,0,30478,17
21509,310000,30569,49,30571,28,30572,1209772,0,30581,19
21609,310000,30669,49,30671,23,30672,1210392,0,30676,19
21711,310000,30771,49,30773,39,30774,1208780,0,30791,32
21814,400000,30874,49,30875,35,30876,1209152,0,30881,32
21915,310000,30974,49,30976,45,30976,1217996,6148.4576271186,30984,45
22015,400000,31076,49,31081,35,31086,1218616,6768.4576271186,31097,34
22117,400000,31179,57,31180,43,31181,1218628,6780.4576271186,31193,39
22218,400000,31278,57,31280,42,31280,1217240,5392.4576271186,31287,43
22319,400000,31380,57,31381,43,31382,1217116,5268.4576271186,31389,37
22421,310000,31482,57,31483,30,31485,1225504,13656.4576271186,31492,28
22521,310000,31581,57,31583,33,31585,1224884,13036.4576271186,31591,28
22622,310000,31682,57,31683,23,31684,1222560,10712.4576271186,31688,21
22723,310000,31784,57,31788,27,31790,1223164,11316.4576271186,31800,24
22824,310000,31884,57,31887,35,31889,1223536,11688.4576271186,31899,22
22925,310000,31985,57,31987,28,31989,1223908,12060.4576271186,31996,20
23027,310000,32088,57,32090,34,32092,1222980,11132.4576271186,32099,24
23127,310000,32188,57,32189,36,32190,1223228,11380.4576271186,32196,27
23229,310000,32291,57,32296,23,32302,1223652,11804.4576271186,32311,22
23330,400000,32390,57,32391,40,32392,1223900,12052.4576271186,32397,30
23431,400000,32491,57,32493,55,32494,1222700,10852.4576271186,32506,56
23531,400000,32591,57,32593,64,32595,1211152,0,32604,64
23631,400000,32692,57,32693,80,32695,1212768,920.4576271186,32706,78
23732,400000,32792,57,32793,63,32794,1217404,5556.4576271186,32801,65
23832,400000,32892,57,32893,48,32893,1219512,7664.4576271186,32898,48
