Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
309057,310000,309058,32,309060,100,309065,1308220,113887.148514851,309091,67,
309159,310000,309160,32,309164,100,309167,1310328,115995.148514851,309188,67,
309285,310000,309286,32,309287,95,309288,1307628,113295.148514851,309294,64,
309360,310000,309361,0,309363,100,309366,1308076,113743.148514851,309381,67,
309460,310000,309461,0,309463,100,309471,1308448,114115.148514851,309479,67,
309561,310000,309562,0,309563,100,309565,1308560,114227.148514851,309590,67,
309661,310000,309662,0,309664,100,309666,1309412,115079.148514851,309681,67,
309762,310000,309763,0,309764,97,309768,1308160,113827.148514851,309777,65,
309862,310000,309863,0,309865,100,309872,1308876,114543.148514851,309889,67,
309963,310000,309964,0,309966,100,309968,1309224,114891.148514851,309981,67,
310063,310000,310065,0,310078,100,310079,1309596,115263.148514851,310097,67,
310164,310000,310165,0,310172,100,310179,1310340,116007.148514851,310194,67,
310266,310000,310267,0,310270,100,310271,1308148,113815.148514851,310299,67,
310367,310000,310368,0,310372,97,310373,1308384,114051.148514851,310382,65,
310471,310000,310472,27,310477,97,310478,1309004,114671.148514851,310486,65,
310568,310000,310569,27,310571,100,310577,1309500,115167.148514851,310592,67,
310675,310000,310678,27,310679,100,310680,1310028,115695.148514851,310700,67,
310776,310000,310777,27,310778,100,310779,1307748,113415.148514851,310800,67,
310877,310000,310878,27,310880,100,310881,1308512,114179.148514851,310899,67,
310978,310000,310979,27,310980,100,310981,1309008,114675.148514851,311000,67,
311078,310000,311079,27,311081,100,311082,1309628,115295.148514851,311116,67,
311179,310000,311180,27,311181,100,311182,1310124,115791.148514851,311200,67,
311280,310000,311281,27,311282,100,311283,1310820,116487.148514851,311321,67,
311380,310000,311381,27,311382,100,311383,1307968,113635.148514851,311408,67,
311481,310000,311482,27,311484,100,311485,1308568,114235.148514851,311500,67,
311584,310000,311585,27,311587,100,311588,1309248,114915.148514851,311595,67,
311686,310000,311687,27,311688,100,311690,1309868,115535.148514851,311700,67,
311786,310000,311787,27,311789,100,311790,1308040,113707.148514851,311799,67,
311891,310000,311891,0,311893,97,311894,1308852,114519.148514851,311911,65,
311993,310000,311994,25,312005,97,312007,1309100,114767.148514851,312022,65,
312094,310000,312095,25,312097,100,312098,1309472,115139.148514851,312115,67,
312195,310000,312196,25,312198,100,312199,1310324,115991.148514851,312218,67,
312296,310000,312299,25,312307,100,312309,1308096,113763.148514851,312322,67,
312406,200000,312407,25,312408,100,312409,1308540,114207.148514851,312429,67,
312506,200000,312507,25,312509,100,312510,1308912,114579.148514851,312524,67,
312607,310000,312608,25,312610,95,312611,1309608,115275.148514851,312630,63,
312707,310000,312708,25,312710,100,312711,1310164,115831.148514851,312729,67,
312808,310000,312809,25,312811,100,312812,1310484,116151.148514851,312831,67,
312909,310000,312910,25,312912,100,312913,1308456,114123.148514851,312923,67,
313009,310000,313010,25,313012,100,313013,1309056,114723.148514851,313027,67,
313110,310000,313110,24,313113,100,313114,1309180,114847.148514851,313132,67,
313210,310000,313211,24,313212,97,313213,1310008,115675.148514851,313225,65,
313311,310000,313312,24,313313,100,313314,1310504,116171.148514851,313346,67,
313411,310000,313412,24,313425,100,313430,1308364,114031.148514851,313445,67,
313462,310000,313462,24,313464,100,313465,1308164,113831.148514851,313493,67,
313562,200000,313563,24,313564,97,313565,1308640,114307.148514851,313609,65,
313716,310000,313716,24,313718,100,313719,1309436,115103.148514851,313740,67,
313768,310000,313769,24,313771,100,313777,1309932,115599.148514851,313828,67,
313866,310000,313867,24,313872,100,313874,1310676,116343.148514851,313912,67,
313968,310000,313969,24,313970,100,313972,1308224,113891.148514851,313979,67,
314118,310000,314119,24,314123,98,314124,1308812,114479.148514851,314150,66,
314219,310000,314220,0,314221,100,314222,1308812,114479.148514851,314235,67,
314319,310000,314320,0,314324,100,314326,1308812,114479.148514851,314340,67,
314420,310000,314421,0,314426,100,314427,1308812,114479.148514851,314451,67,
314520,310000,314521,0,314523,100,314528,1309052,114719.148514851,314549,67,
314621,310000,314622,24,314625,100,314627,1309928,115595.148514851,314645,67,
314721,310000,314722,24,314726,100,314728,1310176,115843.148514851,314739,67,
314822,310000,314823,0,314824,100,314827,1310040,115707.148514851,314834,67,
314926,310000,314927,0,314929,100,314930,1310040,115707.148514851,314942,67,
315028,310000,315029,0,315031,97,315031,1310064,115731.148514851,315049,65,
315130,310000,315131,0,315133,100,315134,1310724,116391.148514851,315177,67,
315231,310000,315232,0,315233,100,315234,1311344,117011.148514851,315250,67,
315332,310000,315333,0,315334,100,315335,1310364,116031.148514851,315342,67,
315435,310000,315436,0,315438,100,315439,1310264,115931.148514851,315456,67,
315536,310000,315537,0,315539,100,315540,1310740,116407.148514851,315557,67,
315637,310000,315638,0,315640,100,315642,1310240,115907.148514851,315683,67,
315740,310000,315742,0,315744,100,315745,1310984,116651.148514851,315754,67,
315839,310000,315839,0,315850,100,315851,1309600,115267.148514851,315886,67,
315939,200000,315940,0,315942,100,315943,1310080,115747.148514851,315966,67,
316040,200000,316040,0,316042,100,316043,1310576,116243.148514851,316050,67,
316145,310000,316146,26,316148,100,316149,1311228,116895.148514851,316159,67,
316247,310000,316248,26,316255,95,316256,1313696,119363.148514851,316269,64,
316356,310000,316357,26,316359,95,316360,1309100,114767.148514851,316383,63,
316456,310000,316457,26,316459,95,316460,1309808,115475.148514851,316504,63,
316558,310000,316559,26,316560,100,316561,1310344,116011.148514851,316579,67,
316658,310000,316659,26,316661,100,316662,1311296,116963.148514851,316684,67,
316763,310000,316763,26,316765,100,316766,1311792,117459.148514851,316783,67,
316863,310000,316864,26,316866,100,316867,1309384,115051.148514851,316880,67,
316964,310000,316964,26,316966,100,316967,1309880,115547.148514851,317000,67,
317064,310000,317065,26,317067,100,317068,1310500,116167.148514851,317082,67,
317165,310000,317166,26,317167,100,317169,1310996,116663.148514851,317180,67,
317266,310000,317267,26,317268,100,317270,1309128,114795.148514851,317291,67,
317367,310000,317368,26,317370,100,317376,1309612,115279.148514851,317391,67,
317467,310000,317468,29,317470,97,317471,1310180,115847.148514851,317498,65,
317568,310000,317569,29,317570,100,317571,1310800,116467.148514851,317594,67,
317668,310000,317669,29,317671,100,317672,1311380,117047.148514851,317693,67,
317769,310000,317773,29,317776,100,317777,1309408,115075.148514851,317798,67,
317870,310000,317870,29,317872,100,317873,1309468,115135.148514851,317887,67,
317970,310000,317971,29,317972,100,317973,1310088,115755.148514851,317988,67,
318071,310000,318071,29,318073,100,318074,1310452,116119.148514851,318092,67,
318171,310000,318172,29,318176,97,318181,1311196,116863.148514851,318198,65,
318277,310000,318278,29,318280,100,318281,1309516,115183.148514851,318298,67,
318379,310000,318380,29,318382,97,318383,1309972,115639.148514851,318390,65,
318486,310000,318487,29,318488,100,318489,1310716,116383.148514851,318515,67,
318580,310000,318581,29,318583,97,318584,1310916,116583.148514851,318591,65,
318681,310000,318682,0,318683,100,318684,1310880,116547.148514851,318692,67,
318793,310000,318794,0,318796,100,318797,1311252,116919.148514851,318826,67,
318894,310000,318895,0,318897,100,318898,1308332,113999.148514851,318907,67,
318994,310000,318995,0,318997,92,318998,1309220,114887.148514851,319027,62,
319100,310000,319107,30,319109,95,319110,1309860,115527.148514851,319137,64,
319202,310000,319221,30,319227,95,319229,1310080,115747.148514851,319261,64,
319306,310000,319308,30,319310,100,319311,1308676,114343.148514851,319344,67,
319402,310000,319403,30,319405,100,319409,1309376,115043.148514851,319430,67,
319503,310000,319504,30,319506,100,319509,1309976,115643.148514851,319544,67,
319603,310000,319604,30,319606,100,319607,1310012,115679.148514851,319614,67,
319708,310000,319710,30,319711,100,319712,1310376,116043.148514851,319747,67,
319809,310000,319824,30,319826,100,319827,1309004,114671.148514851,319834,67,
319910,310000,319911,30,319913,96,319914,1309004,114671.148514851,319960,65,
320010,310000,320012,30,320013,100,320014,1309804,115471.148514851,320033,67,
320111,310000,320112,30,320113,100,320114,1310424,116091.148514851,320127,67,
320211,310000,320212,30,320213,100,320215,1311032,116699.148514851,320239,67,
320312,310000,320313,26,320316,93,320318,1309820,115487.148514851,320334,62,
320412,310000,320413,26,320415,100,320416,1309820,115487.148514851,320422,67,
320513,310000,320514,0,320515,100,320516,1309944,115611.148514851,320532,67,
320616,310000,320617,0,320624,100,320640,1311024,116691.148514851,320679,67,
320718,310000,320718,0,320720,100,320721,1311644,117311.148514851,320770,67,
320817,310000,320818,0,320819,100,320821,1312512,118179.148514851,320849,67,
320917,310000,320918,0,320920,100,320921,1309840,115507.148514851,320957,67,
320976,310000,320977,0,320978,100,320981,1310204,115871.148514851,321035,67,
321076,310000,321077,0,321078,100,321079,1310824,116491.148514851,321096,67,
321179,310000,321180,0,321181,100,321182,1311072,116739.148514851,321216,67,
321282,310000,321283,0,321291,100,321298,1311808,117475.148514851,321331,67,
321389,310000,321390,0,321392,100,321403,1310204,115871.148514851,321411,67,
321489,310000,321490,0,321492,100,321493,1310824,116491.148514851,321518,67,
