Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
40891,16,40792,1586000,40793,3510528,66019.1737089204,40813,17
40996,26,40891,1586000,40893,3510628,66119.1737089204,40909,17
41091,31,40997,1586000,40998,3509248,64739.1737089204,41017,21
41192,22,41095,1586000,41097,3508164,63655.1737089204,41116,17
41294,33,41192,1586000,41193,3509168,64659.1737089204,41222,17
41394,35,41294,1586000,41295,3507144,62635.1737089204,41304,24
41495,32,41395,1586000,41396,3508136,63627.1737089204,41416,25
41596,22,41496,1586000,41497,3508880,64371.1737089204,41512,22
41697,19,41597,1586000,41598,3505264,60755.1737089204,41620,15
41797,22,41698,1170000,41699,3505596,61087.1737089204,41719,15
41898,26,41798,1586000,41799,3507084,62575.1737089204,41819,13
41998,26,41898,1586000,41899,3507140,62631.1737089204,41917,20
42099,18,41999,1586000,42000,3508628,64119.1737089204,42019,20
42199,27,42099,1586000,42101,3509620,65111.1737089204,42119,12
42300,34,42200,1586000,42201,3510364,65855.1737089204,42219,18
42401,21,42301,1586000,42301,3509828,65319.1737089204,42315,24
42501,20,42401,1274000,42402,3511716,67207.1737089204,42438,15
42601,26,42501,1586000,42502,3512460,67951.1737089204,42516,12
42702,33,42602,1586000,42603,3512956,68447.1737089204,42632,20
42802,26,42703,1586000,42704,3511416,66907.1737089204,42712,23
42903,32,42803,1586000,42804,3509096,64587.1737089204,42818,18
43003,36,42904,1586000,42905,3509292,64783.1737089204,42921,23
43104,32,43004,1586000,43005,3507520,63011.1737089204,43024,25
43204,21,43105,1586000,43106,3508224,63715.1737089204,43120,23
43306,20,43205,1586000,43206,3506240,61731.1737089204,43220,16
43406,29,43306,1586000,43307,3505132,60623.1737089204,43335,14
43506,23,43406,1586000,43407,3510004,65495.1737089204,43416,22
43607,22,43507,1586000,43508,3509660,65151.1737089204,43524,15
43707,30,43607,1586000,43608,3510404,65895.1737089204,43630,16
43808,35,43708,1586000,43709,3511408,66899.1737089204,43729,21
43909,16,43809,1586000,43810,3510104,65595.1737089204,43824,26
44010,29,43910,1170000,43912,3510848,66339.1737089204,43932,13
44111,17,44010,1586000,44011,3512544,68035.1737089204,44029,18
44211,31,44111,1586000,44112,3512596,68087.1737089204,44128,16
44311,31,44211,1586000,44212,3512896,68387.1737089204,44230,23
44412,26,44312,1586000,44313,3511024,66515.1737089204,44327,20
44513,40,44412,1586000,44413,3510772,66263.1737089204,44429,20
44613,29,44514,1586000,44515,3508012,63503.1737089204,44531,26
44714,22,44614,1586000,44615,3508680,64171.1737089204,44631,19
44815,33,44715,1586000,44716,3509068,64559.1737089204,44731,16
44915,11,44815,1170000,44816,3505408,60899.1737089204,44833,23
45015,28,44916,1586000,44921,3508632,64123.1737089204,44937,11
45116,21,45016,1586000,45017,3511088,66579.1737089204,45034,18
45216,26,45117,1586000,45118,3511408,66899.1737089204,45132,17
45318,36,45217,1586000,45218,3512664,68155.1737089204,45234,19
45418,32,45318,1586000,45319,3511584,67075.1737089204,45335,27
45519,23,45419,1586000,45420,3512180,67671.1737089204,45433,22
45619,16,45520,1586000,45521,3514272,69763.1737089204,45535,18
45720,25,45620,1586000,45621,3514272,69763.1737089204,45635,11
45821,26,45721,1586000,45722,3514260,69751.1737089204,45736,18
45923,24,45821,1586000,45822,3512772,68263.1737089204,45837,19
46023,33,45924,1586000,45925,3512328,67819.1737089204,45940,16
46123,35,46023,1586000,46025,3507568,63059.1737089204,46043,23
46223,29,46123,1586000,46124,3508016,63507.1737089204,46140,24
46325,28,46224,1586000,46225,3508512,64003.1737089204,46241,21
46425,15,46325,1586000,46326,3510208,65699.1737089204,46340,23
46525,30,46426,1586000,46427,3511460,66951.1737089204,46442,12
46626,25,46526,1586000,46527,3513444,68935.1737089204,46544,22
46727,19,46627,1586000,46628,3513176,68667.1737089204,46642,19
46828,32,46728,1586000,46729,3506564,62055.1737089204,46745,15
46928,32,46829,1586000,46830,3505248,60739.1737089204,46847,26
47029,27,46929,1586000,46929,3505656,61147.1737089204,46943,22
47130,15,47029,1378000,47031,3509872,65363.1737089204,47045,19
47231,29,47130,1586000,47131,3510120,65611.1737089204,47144,11
47331,37,47231,1586000,47232,3512600,68091.1737089204,47249,22
47431,22,47331,1586000,47332,3510880,66371.1737089204,47346,26
47532,32,47431,1586000,47432,3511128,66619.1737089204,47450,14
47635,40,47532,1586000,47534,3511376,66867.1737089204,47549,24
47685,41,47635,1586000,47636,3510956,66447.1737089204,47653,28
47796,31,47686,1586000,47687,3510888,66379.1737089204,47703,30
47886,13,47797,1586000,47798,3505732,61223.1737089204,47812,20
47987,29,47887,1586000,47888,3505980,61471.1737089204,47905,9
48090,32,47988,1586000,47989,3510664,66155.1737089204,48007,21
