Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
35253,53,35254,1586000,35255,3498816,130647.516908213,35371,37,
35354,64,35354,1586000,35355,3501296,133127.516908213,35471,34,
35455,51,35455,1586000,35456,3502308,134139.516908213,35574,30,
35555,52,35556,1586000,35557,3509748,141579.516908213,35675,42,
35659,71,35659,1586000,35661,3510184,142015.516908213,35776,22,
35756,49,35757,1586000,35758,3510076,141907.516908213,35874,30,
35856,54,35857,1586000,35858,3511812,143643.516908213,35972,30,
35957,46,35957,1586000,35959,3509892,141723.516908213,36077,32,
36058,51,36058,1586000,36060,3509696,141527.516908213,36175,41,
36158,70,36159,1586000,36160,3509548,141379.516908213,36223,25,
36208,51,36209,1586000,36209,3510788,142619.516908213,36332,34,
36309,58,36310,1586000,36311,3509772,141603.516908213,36427,30,
36409,53,36410,1586000,36411,3509992,141823.516908213,36529,35,
36510,56,36511,1586000,36513,3507424,139255.516908213,36629,35,
36610,65,36611,1586000,36612,3507672,139503.516908213,36730,43,
36711,70,36712,1586000,36714,3518584,150415.516908213,36829,48,
36812,83,36812,1586000,36813,3505592,137423.516908213,36927,29,
36912,45,36912,1586000,36914,3507428,139259.516908213,37035,17,
37013,33,37014,962000,37015,3507628,139459.516908213,37142,38,
37116,68,37117,1586000,37118,3502844,134675.516908213,37247,39,
37216,64,37217,1586000,37218,3502948,134779.516908213,37336,36,
37317,61,37317,1586000,37319,3503888,135719.516908213,37435,29,
37417,49,37418,1586000,37419,3506180,138011.516908213,37539,26,
37518,40,37518,1586000,37519,3506552,138383.516908213,37641,40,
37619,72,37620,1586000,37621,3503584,135415.516908213,37739,30,
37719,56,37720,1586000,37721,3504328,136159.516908213,37843,32,
37819,87,37819,1586000,37820,3504876,136707.516908213,37937,27,
37919,0,37920,1586000,37921,3505744,137575.516908213,38038,34,
38020,55,38021,1586000,38022,3506736,138567.516908213,38155,33,
38126,54,38127,1586000,38128,3507712,139543.516908213,38246,37,
38228,62,38229,1586000,38231,3503996,135827.516908213,38344,27,
38327,50,38328,1482000,38329,3505156,136987.516908213,38450,24,
